time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1584341134,73,10,-27,36,-10,-20,60,-7
1584341196,73,8,-27,36,-11,-20,60,-7
1584341254,73,6,-27,36,-12,-20,60,-7
1584341316,73,5,-27,36,-13,-20,60,-8
1584341374,73,3,-27,36,-14,-20,60,-8
1584346654,73,-3,-27,36,-14,-20,60,0
1584346717,73,-3,-27,36,-15,-20,60,-1
1584346774,73,-4,-27,36,-16,-20,60,-2
1584346836,73,-4,-27,36,-17,-20,60,-3
1584346894,73,-5,-27,36,-17,-20,60,-4
1584346956,73,-5,-27,36,-18,-20,60,-5
1584347014,73,-6,-27,36,-19,-20,60,-6
1584347076,73,-7,-27,36,-19,-20,60,-7
1584347134,73,-8,-27,36,-20,-20,60,-8
1584347196,73,-8,-27,36,-21,-20,60,-9
1584347253,73,-9,-27,36,-22,-20,60,-9
1584347316,73,-9,-27,36,-22,-20,60,-10
1584352536,73,-3,-27,36,-14,-20,60,-3
1584352594,73,-4,-27,36,-15,-20,60,-4
1584352656,73,-5,-27,36,-16,-20,60,-5
1584352714,73,-5,-27,36,-17,-20,60,-6
1584352776,73,-6,-27,36,-18,-20,60,-7
1584352833,73,-7,-27,36,-18,-20,60,-8
1584352896,73,-8,-27,36,-19,-20,60,-9
1584352953,73,-8,-27,36,-20,-20,60,-9
1584353016,73,-9,-27,36,-21,-20,60,-10
1584353073,73,-10,-27,36,-22,-20,60,-11
1584353136,73,-10,-27,36,-22,-20,60,-11
1584358474,73,-10,-27,36,-19,-20,60,-5
1584358537,73,-10,-27,36,-20,-20,60,-6
1584358594,73,-11,-27,36,-20,-20,60,-6
1584358714,-12,-12,-22,-22,-22,-7,-7,-7
1584358777,-12,-13,-22,-22,-22,-8,-7,-8
1584358834,-12,-13,-23,-22,-23,-9,-7,-9
