time,Panel_1_Power_Avg,Panel_2_Power_Avg,Panel_3_Power_Avg
1580627142,2.1990966796875,1.6168212890625,2.22747802734375
1580627206,0.1007080078125,1.1846923828125,3.82049560546875
1580627270,2.19268798828125,2.2705078125,2.39776611328125
1580627334,3.30047607421875,1.53076171875,0.32867431640625
1580627398,2.57354736328125,1.72943115234375,2.13592529296875
1580627462,0.5181884765625,1.4996337890625,3.60443115234375
1580627526,2.255859375,2.03338623046875,2.92510986328125
1580627590,2.64862060546875,2.40875244140625,0.9869384765625
1580627654,2.96539306640625,2.288818359375,2.1112060546875
1580627846,2.7520751953125,2.4810791015625,2.24395751953125
1580627910,1.39801025390625,1.78253173828125,2.27783203125
1580627974,1.84112548828125,0.816650390625,2.71087646484375
1580628038,2.16522216796875,2.3822021484375,1.63421630859375
1580628102,1.7816162109375,2.3712158203125,2.09381103515625
1580628166,2.46002197265625,1.6094970703125,1.8804931640625
1580628230,1.91619873046875,0.46051025390625,2.2540283203125
1580628294,2.08099365234375,2.281494140625,2.3309326171875
1580628358,1.03363037109375,2.98553466796875,2.36572265625
1580628422,2.808837890625,2.26409912109375,2.208251953125
1580628486,2.2796630859375,0.9393310546875,1.3641357421875
1580628550,2.083740234375,2.12860107421875,2.74200439453125
1580628614,1.06842041015625,3.01666259765625,2.0855712890625
1580628678,2.017822265625,0.67657470703125,0.9796142578125
1580628742,1.8804931640625,1.71295166015625,1.9866943359375
1580628806,1.07666015625,2.71087646484375,0.4852294921875
1580628870,2.6971435546875,1.76788330078125,0.7122802734375
1580628934,1.8182373046875,0.31585693359375,0.34881591796875
1580628998,1.97479248046875,1.58294677734375,1.49505615234375
1580629062,0.31219482421875,2.2650146484375,2.15972900390625
1580629190,0.7525634765625,0.5419921875,0.56488037109375
1580629254,2.34100341796875,1.7926025390625,1.1370849609375
1580629702,0.0640869140625,1.8017578125,0.05584716796875
1580629766,0.25634765625,1.13067626953125,1.611328125
1580629830,1.45477294921875,0.19317626953125,1.805419921875
1580629894,0.04302978515625,1.7449951171875,2.33917236328125
