time,Status,Control,Last_Charge_Time
1580748685,0x0,0x0,0.0
1580748742,0x0,0x0,0.0
1580748857,0x0,0x0,0.0
1580749159,0x0,0x0,0.0
1580749289,0x0,0x0,0.0
1580749346,0x0,0x0,0.0
1580749404,0x0,0x0,0.0
1580749461,0x0,0x0,0.0
1580749519,0x0,0x0,0.0
1580750597,0x0,0x0,0.0
1580752826,0x0,0x0,0.0
1580752884,0x0,0x0,0.0
1580752941,0x0,0x0,0.0
1580752999,0x0,0x0,0.0
1580753071,0x0,0x0,0.0
1580753128,0x0,0x0,0.0
1580753186,0x0,0x0,0.0
1580753243,0x0,0x0,0.0
1580753301,0x0,0x0,0.0
1580753488,0x0,0x0,0.0
1580753962,0x0,0x0,0.0
1580754020,0x0,0x0,0.0
1580754078,0x0,0x0,0.0
1580754149,0x0,0x0,0.0
1580754207,0x0,0x0,0.0
1580754264,0x0,0x0,0.0
1580754322,0x0,0x0,0.0
1580754380,0x0,0x0,0.0
1580754437,0x0,0x0,0.0
1580754509,0x0,0x0,0.0
1580754566,0x0,0x0,0.0
1580754624,0x0,0x0,0.0
1580758521,0x0,0x0,0.0
1580758579,0x0,0x0,0.0
1580758651,0x0,0x0,0.0
1580758708,0x0,0x0,0.0
1580758766,0x0,0x0,0.0
1580758823,0x0,0x0,0.0
1580758881,0x0,0x0,0.0
1580758938,0x0,0x0,0.0
1580759010,0x0,0x0,0.0
1580759068,0x0,0x0,0.0
1580759125,0x0,0x0,0.0
1580759183,0x0,0x0,0.0
1580759240,0x0,0x0,0.0
1580759298,0x0,0x0,0.0
1580759370,0x0,0x0,0.0
1580759427,0x0,0x0,0.0
1580759844,0x0,0x0,0.0
1580759959,0x0,0x0,0.0
1580760017,0x0,0x0,0.0
1580760089,0x0,0x0,0.0
1580760146,0x0,0x0,0.0
1580760204,0x0,0x0,0.0
1580760261,0x0,0x0,0.0
1580760319,0x0,0x0,0.0
1580764288,0x0,0x0,0.0
1580764403,0x0,0x0,0.0
1580764461,0x0,0x0,0.0
1580764518,0x0,0x0,0.0
1580764590,0x0,0x0,0.0
1580764647,0x0,0x0,0.0
1580764705,0x0,0x0,0.0
1580764763,0x0,0x0,0.0
1580764820,0x0,0x0,0.0
1580764878,0x0,0x0,0.0
1580764949,0x0,0x0,0.0
1580765007,0x0,0x0,0.0
1580765065,0x0,0x0,0.0
1580765122,0x0,0x0,0.0
1580765180,0x0,0x0,0.0
1580765237,0x0,0x0,0.0
1580768243,0x0,0x0,0.0
1580768300,0x0,0x0,0.0
1580768358,0x0,0x0,0.0
1580768487,0x0,0x0,0.0
1580768545,0x0,0x0,0.0
1580768660,0x0,0x0,0.0
1580768717,0x0,0x0,0.0
1580770098,0x0,0x0,0.0
1580770170,0x0,0x0,0.0
1580770285,0x0,0x0,0.0
1580770342,0x0,0x0,0.0
1580770400,0x0,0x0,0.0
1580770457,0x0,0x0,0.0
1580770529,0x0,0x0,0.0
1580770587,0x0,0x0,0.0
1580770644,0x0,0x0,0.0
1580770702,0x0,0x0,0.0
1580770759,0x0,0x0,0.0
1580770817,0x0,0x0,0.0
1580770946,0x0,0x0,0.0
1580771004,0x0,0x0,0.0
1580771061,0x0,0x0,0.0
1580771119,0x0,0x0,0.0
1580771191,0x0,0x0,0.0
1580774182,0x0,0x0,0.0
1580774297,0x0,0x0,0.0
1580774369,0x0,0x0,0.0
1580775980,0x0,0x0,0.0
1580776037,0x0,0x0,0.0
1580776109,0x0,0x0,0.0
1580776167,0x0,0x0,0.0
1580776224,0x0,0x0,0.0
1580776282,0x0,0x0,0.0
1580776339,0x0,0x0,0.0
1580776397,0x0,0x0,0.0
1580776469,0x0,0x0,0.0
1580776526,0x0,0x0,0.0
1580776584,0x0,0x0,0.0
1580776641,0x0,0x0,0.0
1580776699,0x0,0x0,0.0
1580776771,0x0,0x0,0.0
1580776828,0x0,0x0,0.0
1580776886,0x0,0x0,0.0
1580776943,0x0,0x0,0.0
1580777001,0x0,0x0,0.0
1580777058,0x0,0x0,0.0
1580777130,0x0,0x0,0.0
1580781142,0x0,0x0,0.0
1580781200,0x0,0x0,0.0
1580781919,0x0,0x0,0.0
1580781991,0x0,0x0,0.0
