time,SPAM_Off_Z_MTQ_X,SPAM_OFF_Z_MTQ_Y,SPAM_OFF_Z_MTQ_Z,Dipole_Gain_Y,Dipole_Gain_Z
1585512538,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512610,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512667,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512725,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512782,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512840,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512897,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512969,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585513084,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585515069,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585515184,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585517283,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517341,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517399,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517456,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517528,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517585,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517643,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517701,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517758,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517830,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517887,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585517945,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518003,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518060,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518420,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518477,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518549,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518607,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518664,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585518837,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521008,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521066,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521123,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521181,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521238,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585521425,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585522921,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585522978,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585523036,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
1585523108,6.2465753424657535,1.2465753424657535,-0.863013698630137,1.0,1.0
