time,X1,Y1,G1,G2,G3,G4,G5,G6,G7,G8,G9,GA,Checksum
1582573505,81,16,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x1b
1582573510,85,40,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x72
1582573515,89,44,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x5d
1582573520,93,58,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0xa0
1582573525,1,6,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xa2
1582573529,5,0,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xce
1582573534,9,24,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x37
1582573539,13,28,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x77
1582573544,17,52,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xdf
1582573549,21,56,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x20
1582573553,25,60,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x60
1582573558,30,10,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x42
1582573563,34,14,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x82
1582573568,38,38,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xea
1582573573,42,32,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x17
1582573577,46,56,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x7f
1582573582,50,60,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xbf
1582573587,55,20,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xb5
1582573592,59,24,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xf5
1582573597,63,28,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x36
1582573601,67,42,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8a
1582573606,71,46,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xca
1582573611,76,6,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xc0
1582573616,80,10,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x1
1582573621,84,24,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x55
1582573625,88,28,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x51
1582573630,92,52,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x86
1582573635,95,60,0x1,0x1,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0xf3
1582573640,3,58,0x9,0x8,0x7,0x7,0x8,0x6,0x8,0x8,0x8,0x8,0x8d
1582573644,8,18,0xa,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xa,0x9,0x60
1582573649,12,12,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0x7c
1582573654,16,36,0xa,0xa,0xa,0xa,0xa,0xa,0xa,0x9,0xa,0xa,0x86
1582573659,20,40,0xa,0x9,0x9,0x9,0x9,0x9,0x9,0xa,0xa,0xa,0x35
1582573664,24,54,0x9,0x9,0xa,0xa,0xa,0xa,0xa,0xa,0xa,0xa,0xac
1582573668,29,4,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0x5b
1582573673,32,62,0xa,0x9,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xab
