time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587640727,3.3000000000000003,3.516,3.368
1587640784,3.3000000000000003,3.516,3.372
1587641086,3.3000000000000003,3.516,3.344
1587641144,3.3000000000000003,3.516,3.352
1587641202,3.3000000000000003,3.516,3.364
1587641273,3.3000000000000003,3.516,3.368
1587641331,3.3000000000000003,3.516,3.376
1587641389,3.3000000000000003,3.516,3.38
1587641446,3.3000000000000003,3.516,3.376
1587641504,3.3000000000000003,3.516,3.368
1587641575,3.3000000000000003,3.516,3.364
1587641633,3.3000000000000003,3.516,3.372
1587641691,3.3000000000000003,3.516,3.376
1587641748,3.3000000000000003,3.516,3.38
1587641863,3.3000000000000003,3.516,3.412
1587643963,3.3000000000000003,3.516,3.336
1587644035,3.3000000000000003,3.516,3.332
1587644207,3.3000000000000003,3.516,3.3280000000000003
1587644265,3.3000000000000003,3.516,3.3280000000000003
1587645775,3.3000000000000003,3.516,3.344
1587645832,3.3000000000000003,3.516,3.34
1587645890,3.3000000000000003,3.516,3.3280000000000003
1587645947,3.3000000000000003,3.516,3.3240000000000003
1587646005,3.3000000000000003,3.516,3.332
1587646062,3.3000000000000003,3.516,3.34
1587646134,3.3000000000000003,3.516,3.348
1587646192,3.3000000000000003,3.516,3.344
1587646249,3.3000000000000003,3.516,3.352
1587646307,3.3000000000000003,3.516,3.36
1587646364,3.3000000000000003,3.516,3.368
1587646422,3.3000000000000003,3.516,3.368
1587646494,3.3000000000000003,3.516,3.364
1587646551,3.3000000000000003,3.516,3.364
1587646609,3.3000000000000003,3.516,3.364
1587646666,3.3000000000000003,3.516,3.368
1587646724,3.3000000000000003,3.516,3.376
1587647026,3.3000000000000003,3.516,3.372
1587647083,3.3000000000000003,3.516,3.376
1587647155,3.3000000000000003,3.516,3.388
1587647213,3.3000000000000003,3.516,3.388
1587647270,3.3000000000000003,3.516,3.38
1587647328,3.3000000000000003,3.516,3.376
1587647386,3.3000000000000003,3.516,3.368
1587647443,3.3000000000000003,3.516,3.36
